,ep_score
0,5.0
1,6.0
2,6.0
3,5.0
4,5.0
5,5.0
6,6.0
7,5.0
8,9.0
9,6.0
10,5.0
11,6.0
12,4.0
13,4.0
14,8.0
15,9.0
16,5.0
17,6.0
18,10.0
19,4.0
20,5.0
21,5.0
22,5.0
23,6.0
24,4.0
25,6.0
26,5.0
27,7.0
28,5.0
29,4.0
30,6.0
31,7.0
32,6.0
33,6.0
34,6.0
35,6.0
36,5.0
37,15.0
38,7.0
39,11.0
40,5.0
41,5.0
42,5.0
43,7.0
44,8.0
45,6.0
46,6.0
47,5.0
48,8.0
49,9.0
50,5.0
51,5.0
52,8.0
53,17.0
54,8.0
55,7.0
56,5.0
57,4.0
58,6.0
59,6.0
60,11.0
61,6.0
62,7.0
63,5.0
64,5.0
65,6.0
66,7.0
67,10.0
68,5.0
69,7.0
70,10.0
71,6.0
72,6.0
73,8.0
74,8.0
75,7.0
76,7.0
77,7.0
78,16.0
79,6.0
80,7.0
81,5.0
82,5.0
83,8.0
84,6.0
85,6.0
86,5.0
87,7.0
88,11.0
89,8.0
90,9.0
91,5.0
92,5.0
93,9.0
94,9.0
95,9.0
96,11.0
97,6.0
98,7.0
99,13.0
100,11.0
101,6.0
102,5.0
103,7.0
104,16.0
105,4.0
106,5.0
107,5.0
108,7.0
109,6.0
110,8.0
111,7.0
112,6.0
113,6.0
114,7.0
115,7.0
116,8.0
117,13.0
118,7.0
119,6.0
120,8.0
121,13.0
122,15.0
123,6.0
124,5.0
125,6.0
126,12.0
127,7.0
128,5.0
129,6.0
130,12.0
131,14.0
132,9.0
133,9.0
134,6.0
135,6.0
136,11.0
137,7.0
138,13.0
139,13.0
140,5.0
141,17.0
142,9.0
143,7.0
144,16.0
145,10.0
146,6.0
147,8.0
148,9.0
149,27.0
150,8.0
151,14.0
152,28.0
153,6.0
154,7.0
155,13.0
156,18.0
157,11.0
158,11.0
159,14.0
160,19.0
161,12.0
162,20.0
163,14.0
164,20.0
165,10.0
166,21.0
167,18.0
168,80.0
169,31.0
170,19.0
171,20.0
172,40.0
173,35.0
174,18.0
175,40.0
176,23.0
177,15.0
178,26.0
179,18.0
180,23.0
181,30.0
182,14.0
183,35.0
184,25.0
185,17.0
186,26.0
187,60.0
188,29.0
189,45.0
190,28.0
191,24.0
192,35.0
193,52.0
194,73.0
195,34.0
196,51.0
197,13.0
198,21.0
199,30.0
200,19.0
201,23.0
202,18.0
203,43.0
204,20.0
205,18.0
206,16.0
207,26.0
208,23.0
209,26.0
210,30.0
211,36.0
212,33.0
213,20.0
214,11.0
215,24.0
216,20.0
217,38.0
218,56.0
219,22.0
220,35.0
221,23.0
222,83.0
223,41.0
224,53.0
225,42.0
226,131.0
227,81.0
228,52.0
229,130.0
230,50.0
231,51.0
232,65.0
233,44.0
234,89.0
235,59.0
236,99.0
237,75.0
238,95.0
239,63.0
240,54.0
241,131.0
242,46.0
243,56.0
244,77.0
245,44.0
246,28.0
247,55.0
248,81.0
249,44.0
250,75.0
251,29.0
252,43.0
253,88.0
254,53.0
255,34.0
256,36.0
257,77.0
258,40.0
259,68.0
260,119.0
261,118.0
262,74.0
263,70.0
264,46.0
265,92.0
266,49.0
267,115.0
268,110.0
269,94.0
270,103.0
271,84.0
272,85.0
273,77.0
274,46.0
275,98.0
276,71.0
277,52.0
278,57.0
279,72.0
280,40.0
281,46.0
282,51.0
283,56.0
284,57.0
285,42.0
286,58.0
287,58.0
288,20.0
289,21.0
290,17.0
291,53.0
292,46.0
293,55.0
294,55.0
295,40.0
296,48.0
297,42.0
298,31.0
299,64.0
300,42.0
301,46.0
302,27.0
303,57.0
304,58.0
305,48.0
306,11.0
307,45.0
308,86.0
309,38.0
310,22.0
311,62.0
312,86.0
313,58.0
314,63.0
315,76.0
316,115.0
317,118.0
318,148.0
319,120.0
320,117.0
321,73.0
322,128.0
323,88.0
324,72.0
