,ep_score
0,-38.13601793190869
1,-7.4799667155115435
2,-18.065131663556496
3,-16.152986305692814
4,3.1303005252540688
5,-11.273519628169481
6,14.267888708908387
7,32.84227527573003
8,30.754674826074687
9,9.702001966654622
10,9.43988733810399
11,9.072925767371895
12,19.865946043229943
13,9.030026197861611
14,4.1894958323121045
15,-2.7831589822451672
16,8.384283126985045
17,0.6500142222238023
18,9.289335139224574
19,15.6945611174498
20,10.090618084185293
21,4.601416345360772
22,4.883682332216806
23,7.0162736345921966
24,-1.1509173503429475
25,-0.15617750562675803
26,3.0202180441981805
27,-2.6863092364968844
28,-5.301357940927734
29,5.18104126540223
30,5.719691969371876
31,0.7996175829297233
32,4.6890734663202345
33,1.134822064187222
34,5.710127721075981
35,6.544265636994048
36,3.0853563466258347
37,-3.3439783837856787
38,0.8144931760698341
39,-0.9109978499997214
40,8.752383665085613
41,6.864356991800931
42,8.004031283180966
43,3.0356828425597304
44,2.3314424637889157
45,3.218334233504398
46,3.0787655367895685
47,4.377058188264648
48,-1.8288723146459511
49,-8.280600312923559
50,-7.437200577019202
51,4.715305542026972
52,-14.299703807082594
53,-0.6628721977734594
54,8.080017904077584
55,-2.950573887976875
56,-3.833289401108833
57,-4.538653791298916
58,-2.566049679164119
59,-7.9773835495604155
60,-8.63963157585637
61,-14.611123425132162
62,-18.590724515235614
63,-13.76481831753643
64,-15.130028756975614
65,-20.238854818664798
66,-17.446383412597825
67,-21.185274346923105
68,-12.410809367078889
69,-17.523731896199173
70,-3.1961676014648686
71,-13.678607064963138
72,-4.716569450393413
73,-8.00153250649225
74,-9.16494581062504
75,-9.59855377188955
76,-8.909385147988134
77,-18.899893516647936
78,-19.815345729348902
79,-13.03409614618453
80,-21.75655401478242
81,-10.728200054105796
82,-8.180514061903002
83,-15.27272587391478
84,-10.842524472896567
85,-14.95668676015247
86,-24.428854646360517
87,-22.262952374361742
88,-17.605668751336506
89,-8.247263668278089
90,-11.312079589538149
91,-10.179155456658034
92,-18.134751724061665
93,-15.138302575599646
94,-21.488344953682557
95,-22.357994892333913
96,-19.052779528589095
97,-16.760559850272784
98,-20.260769202452707
99,-14.21107765705279
